panel	sample	method	F1	official_L1_pp	official_Pearson	truth_mass_detected_pct	matched_abs_error_pp	missing_truth_mass_pp	extra_pred_mass_pp	L1	Pearson	evidence_group	source_profile	abundance_feature_allocator_switch	abundance_feature_allocator_applied	abundance_feature_allocator_guard_passed	abundance_feature_allocator_method	abundance_feature_allocator_alpha	abundance_feature_allocator_target	abundance_feature_allocator_guard_feature	abundance_feature_allocator_guard_threshold	abundance_feature_allocator_base_mass_multi_genus_frac	abundance_feature_allocator_s_xny_median	abundance_feature_allocator_s_xny_median_threshold	abundance_feature_allocator_adjusted_rows_n	abundance_feature_allocator_rule	gold_taxa	pred_taxa	TP	FP	FN	precision	recall	abundance_column	tp_abundance_n	tp_abundance_pearson	tp_abundance_mae	bacteria_scope_l1	dataset	sample_key	profile_path	delta_F1	delta_L1	delta_Pearson
cami3_toy_human_gut_gtdb_source_readmap	2	current_selected_abundance	0.772093023255814	43.81898504973346	0.9544933525370349	99.51471370763684	32.72202717145397	0.4852862923631529	10.611671585916357	43.81898504973346	0.9544933525370349	selected_cached_wrapper	/tmp/minco_cross_panel_candidate_abundance_wrapper_20260629/cami3_sample2.normalized_depth_alpha2.tsv																													0.0	0.0	0.0
cami3_toy_human_gut_gtdb_source_readmap	2	wrapper_guarded_genus_hit_breadth_a002_xny230	0.772093023255814	43.81898504973346	0.9544933525370349	99.51471370763684	32.72202717145397	0.4852862923631529	10.611671585916357	43.81898504973346	0.9544933525370349	selected_cached_wrapper	/tmp/minco_cross_panel_candidate_abundance_wrapper_20260629/cami3_sample2.normalized_depth_alpha2.tsv	guarded-genus-hit-breadth-a002-xny230	False	False	genus_raw_hit_breadth_a0.02_xny230_guard	0.02	raw*max(s,u Ref_hit_mean_depth*Ref_breadth)	base_mass_multi_genus_frac;s_xny_median	0.37501510201405147;230.3	0.6942318304267054	111.0	230.3	0.0	if base_mass_multi_genus_frac>=0.375015 and s_xny_median>=230.3 then blend 0.02 of each multi-row called genus toward raw*hit-depth*breadth; candidate-added row mass is preserved																0.0	0.0	0.0
hmp_airskin_gtdb_source_abundance	0	current_selected_abundance	0.8405797101449276	18.780365281635795	0.9895037710483945	99.99520959562412	10.119936793047728	0.004790404375874205	8.655638084212198	18.780365281635795	0.9895037710483945	selected_cached_wrapper	/tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample0.integrated_candidate_surface_abundance.tsv																													0.0	0.0	0.0
hmp_airskin_gtdb_source_abundance	0	wrapper_guarded_genus_hit_breadth_a002_xny230	0.8405797101449276	18.485434315222033	0.9898248287847489	99.99520959562412	9.966860579238073	0.004790404375874205	8.513783331608085	18.485434315222033	0.9898248287847489	selected_cached_wrapper	/tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample0.integrated_candidate_surface_abundance.tsv	guarded-genus-hit-breadth-a002-xny230	True	True	genus_raw_hit_breadth_a0.02_xny230_guard	0.02	raw*max(s,u Ref_hit_mean_depth*Ref_breadth)	base_mass_multi_genus_frac;s_xny_median	0.37501510201405147;230.3	0.875944010633818	622.0	230.3	21.0	if base_mass_multi_genus_frac>=0.375015 and s_xny_median>=230.3 then blend 0.02 of each multi-row called genus toward raw*hit-depth*breadth; candidate-added row mass is preserved																0.0	-0.29493096641376226	0.00032105773635437984
hmp_airskin_gtdb_source_abundance	1	current_selected_abundance	0.6799999999999999	18.105883690092906	0.9973939434154936	100.00000000000003	11.773226709810263	0.0	6.332656980282643	18.105883690092906	0.9973939434154936	selected_cached_wrapper	/tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample1.integrated_candidate_surface_abundance.tsv																													0.0	0.0	0.0
hmp_airskin_gtdb_source_abundance	1	wrapper_guarded_genus_hit_breadth_a002_xny230	0.6799999999999999	17.73786837906538	0.9975148885904875	100.00000000000003	11.470424983844671	0.0	6.2674433952207105	17.73786837906538	0.9975148885904875	selected_cached_wrapper	/tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample1.integrated_candidate_surface_abundance.tsv	guarded-genus-hit-breadth-a002-xny230	True	True	genus_raw_hit_breadth_a0.02_xny230_guard	0.02	raw*max(s,u Ref_hit_mean_depth*Ref_breadth)	base_mass_multi_genus_frac;s_xny_median	0.37501510201405147;230.3	0.7269955386404219	412.0	230.3	59.0	if base_mass_multi_genus_frac>=0.375015 and s_xny_median>=230.3 then blend 0.02 of each multi-row called genus toward raw*hit-depth*breadth; candidate-added row mass is preserved																0.0	-0.36801531102752705	0.00012094517499394719
hmp_airskin_gtdb_source_abundance	3	current_selected_abundance	0.9574468085106385	12.670666989685989	0.9970245468507749	99.78217411541613	8.66326084036301	0.21782588458383687	3.789580264739139	12.670666989685989	0.9970245468507749	selected_cached_wrapper	/tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample3.integrated_candidate_surface_abundance.tsv																													0.0	0.0	0.0
hmp_airskin_gtdb_source_abundance	3	wrapper_guarded_genus_hit_breadth_a002_xny230	0.9574468085106385	12.533226117750058	0.9970543198658293	99.78217411541613	8.534067130334536	0.21782588458383687	3.7813331028316832	12.533226117750058	0.9970543198658293	selected_cached_wrapper	/tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample3.integrated_candidate_surface_abundance.tsv	guarded-genus-hit-breadth-a002-xny230	True	True	genus_raw_hit_breadth_a0.02_xny230_guard	0.02	raw*max(s,u Ref_hit_mean_depth*Ref_breadth)	base_mass_multi_genus_frac;s_xny_median	0.37501510201405147;230.3	0.962228766087623	760.0	230.3	35.0	if base_mass_multi_genus_frac>=0.375015 and s_xny_median>=230.3 then blend 0.02 of each multi-row called genus toward raw*hit-depth*breadth; candidate-added row mass is preserved																0.0	-0.13744087193593124	2.9773015054357366e-05
hmp_airskin_gtdb_source_abundance	4	current_selected_abundance	0.8395061728395061	28.72674092295988	0.9883782682234051	98.6653234679756	18.526521250982633	1.334676532024448	8.865543139952809	28.72674092295988	0.9883782682234051	selected_cached_wrapper	/tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample4.integrated_candidate_surface_abundance.tsv																													0.0	0.0	0.0
hmp_airskin_gtdb_source_abundance	4	wrapper_guarded_genus_hit_breadth_a002_xny230	0.8395061728395061	28.315437632560524	0.9886458992881852	98.6653234679756	18.235150375702357	1.334676532024448	8.745610724833726	28.315437632560524	0.9886458992881852	selected_cached_wrapper	/tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample4.integrated_candidate_surface_abundance.tsv	guarded-genus-hit-breadth-a002-xny230	True	True	genus_raw_hit_breadth_a0.02_xny230_guard	0.02	raw*max(s,u Ref_hit_mean_depth*Ref_breadth)	base_mass_multi_genus_frac;s_xny_median	0.37501510201405147;230.3	0.9052910146067648	477.0	230.3	95.0	if base_mass_multi_genus_frac>=0.375015 and s_xny_median>=230.3 then blend 0.02 of each multi-row called genus toward raw*hit-depth*breadth; candidate-added row mass is preserved																0.0	-0.4113032903993563	0.0002676310647801161
