sample	method	baseline_method	baseline_TP	selected_default_TP	delta_TP	baseline_FP	selected_default_FP	delta_FP	baseline_FN	selected_default_FN	delta_FN	baseline_F1	selected_default_F1	delta_F1	baseline_L1_union_pp	selected_default_L1_union_pp	delta_L1_union_pp	baseline_Pearson_union	selected_default_Pearson_union	delta_Pearson_union
0	minco_candidate_default_binomial_fallback	minco_source_readmap_binomial_fallback_rescore	86.0	88.0	2.0	8.0	8.0	0.0	16.0	14.0	-2.0	0.8775510204081632	0.888888888888889	0.01133786848072571	62.636325249968486	61.248489209674915	-1.3878360402935712	0.9107219221008171	0.9167330572371721	0.006011135136354984
0	sylph_binomial_fallback	sylph_source_readmap_binomial_fallback_rescore	69.0	69.0	0.0	2.0	2.0	0.0	33.0	33.0	0.0	0.7976878612716763	0.7976878612716763	0.0	25.612226850811226	25.612226850811314	8.881784197001252e-14	0.9807516748327524	0.9807516748327523	-1.1102230246251565e-16
1	minco_candidate_default_binomial_fallback	minco_source_readmap_binomial_fallback_rescore	91.0	93.0	2.0	8.0	8.0	0.0	19.0	17.0	-2.0	0.8708133971291866	0.8815165876777251	0.010703190548538521	75.61562428951619	67.1438350886866	-8.47178920082959	0.6517565340655648	0.7230086909684869	0.07125215690292208
1	sylph_binomial_fallback	sylph_source_readmap_binomial_fallback_rescore	74.0	74.0	0.0	4.0	4.0	0.0	36.0	36.0	0.0	0.7872340425531915	0.7872340425531915	0.0	33.845662079041126	33.8456620790412	7.105427357601002e-14	0.893804131378265	0.893804131378265	0.0
2	minco_candidate_default_binomial_fallback	minco_source_readmap_binomial_fallback_rescore	90.0	91.0	1.0	25.0	25.0	0.0	17.0	16.0	-1.0	0.8108108108108107	0.8161434977578476	0.005332686947036813	47.40055400096946	39.36570740987837	-8.034846591091089	0.9163764584014586	0.9600359311888502	0.04365947278739157
2	sylph_binomial_fallback	sylph_source_readmap_binomial_fallback_rescore	61.0	61.0	0.0	6.0	6.0	0.0	46.0	46.0	0.0	0.7011494252873562	0.7011494252873562	0.0	33.85181168832131	33.85181168832146	1.4921397450962104e-13	0.9670532334224852	0.9670532334224848	-3.3306690738754696e-16
