method	panels	mean_panel_pooled_F1	mean_panel_official_L1_pp	mean_panel_Pearson_union	total_TP	total_FP	total_FN	total_rescued_TP	total_rescued_FP	mean_delta_F1	min_delta_F1	mean_delta_L1_pp	total_TP_delta	total_FP_delta	total_FN_delta	improved_samples_F1	worsened_samples_F1	unchanged_samples_F1	worsened_panels_F1
cross_rescue_ani0.92_xny700_br0.15_af0.7_zero_mass	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8710478059759708	37.0063459363136	0.9186781153898296	1745	389	194	18	1	0.006626257892367909	0.0	0.0	18.0	1.0	-18.0	13.0	0.0	19.0	0.0
cross_rescue_ani0.92_xny700_br0.15_af0.9_zero_mass	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8655897841967835	37.0063459363136	0.9186780411220128	1728	388	211	1	0	0.00047953964194373533	0.0	0.0	1.0	0.0	-1.0	1.0	0.0	31.0	0.0
cross_rescue_ani0.92_xny700_br0.1_af0.1_zero_mass	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8710478059759708	37.0063459363136	0.9186781153898296	1745	389	194	18	1	0.006626257892367909	0.0	0.0	18.0	1.0	-18.0	13.0	0.0	19.0	0.0
cross_rescue_ani0.92_xny700_br0.1_af0.3_zero_mass	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8710478059759708	37.0063459363136	0.9186781153898296	1745	389	194	18	1	0.006626257892367909	0.0	0.0	18.0	1.0	-18.0	13.0	0.0	19.0	0.0
cross_rescue_ani0.92_xny700_br0.1_af0.5_zero_mass	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8710478059759708	37.0063459363136	0.9186781153898296	1745	389	194	18	1	0.006626257892367909	0.0	0.0	18.0	1.0	-18.0	13.0	0.0	19.0	0.0
cross_rescue_ani0.92_xny700_br0.1_af0.7_zero_mass	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8710478059759708	37.0063459363136	0.9186781153898296	1745	389	194	18	1	0.006626257892367909	0.0	0.0	18.0	1.0	-18.0	13.0	0.0	19.0	0.0
cross_rescue_ani0.92_xny700_br0.1_af0.9_zero_mass	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8655897841967835	37.0063459363136	0.9186780411220128	1728	388	211	1	0	0.00047953964194373533	0.0	0.0	1.0	0.0	-1.0	1.0	0.0	31.0	0.0
cross_rescue_ani0.92_xny700_br0.2_af0.1_zero_mass	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8709304115138432	37.0063459363136	0.9186781153898296	1744	389	195	17	1	0.006043630773723847	0.0	0.0	17.0	1.0	-17.0	13.0	0.0	19.0	0.0
cross_rescue_ani0.92_xny700_br0.2_af0.3_zero_mass	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8709304115138432	37.0063459363136	0.9186781153898296	1744	389	195	17	1	0.006043630773723847	0.0	0.0	17.0	1.0	-17.0	13.0	0.0	19.0	0.0
cross_rescue_ani0.92_xny700_br0.2_af0.5_zero_mass	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8709304115138432	37.0063459363136	0.9186781153898296	1744	389	195	17	1	0.006043630773723847	0.0	0.0	17.0	1.0	-17.0	13.0	0.0	19.0	0.0
cross_rescue_ani0.92_xny700_br0.2_af0.7_zero_mass	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8709304115138432	37.0063459363136	0.9186781153898296	1744	389	195	17	1	0.006043630773723847	0.0	0.0	17.0	1.0	-17.0	13.0	0.0	19.0	0.0
cross_rescue_ani0.92_xny700_br0.2_af0.9_zero_mass	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8655897841967835	37.0063459363136	0.9186780411220128	1728	388	211	1	0	0.00047953964194373533	0.0	0.0	1.0	0.0	-1.0	1.0	0.0	31.0	0.0
cross_rescue_ani0.92_xny700_br0.3_af0.1_zero_mass	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8699456800966343	37.0063459363136	0.9186780411220128	1738	388	201	11	0	0.003565933001477322	0.0	0.0	11.0	0.0	-11.0	8.0	0.0	24.0	0.0
cross_rescue_ani0.92_xny700_br0.3_af0.3_zero_mass	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8699456800966343	37.0063459363136	0.9186780411220128	1738	388	201	11	0	0.003565933001477322	0.0	0.0	11.0	0.0	-11.0	8.0	0.0	24.0	0.0
cross_rescue_ani0.92_xny700_br0.3_af0.5_zero_mass	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8699456800966343	37.0063459363136	0.9186780411220128	1738	388	201	11	0	0.003565933001477322	0.0	0.0	11.0	0.0	-11.0	8.0	0.0	24.0	0.0
cross_rescue_ani0.92_xny700_br0.3_af0.7_zero_mass	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8699456800966343	37.0063459363136	0.9186780411220128	1738	388	201	11	0	0.003565933001477322	0.0	0.0	11.0	0.0	-11.0	8.0	0.0	24.0	0.0
cross_rescue_ani0.92_xny700_br0.3_af0.9_zero_mass	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8655897841967835	37.0063459363136	0.9186780411220128	1728	388	211	1	0	0.00047953964194373533	0.0	0.0	1.0	0.0	-1.0	1.0	0.0	31.0	0.0
cross_rescue_ani0.92_xny700_br0.5_af0.1_zero_mass	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8671937191839519	37.0063459363136	0.9186780411220128	1729	388	210	2	0	0.0008274060612387252	0.0	0.0	2.0	0.0	-2.0	2.0	0.0	30.0	0.0
cross_rescue_ani0.92_xny700_br0.5_af0.3_zero_mass	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8671937191839519	37.0063459363136	0.9186780411220128	1729	388	210	2	0	0.0008274060612387252	0.0	0.0	2.0	0.0	-2.0	2.0	0.0	30.0	0.0
cross_rescue_ani0.92_xny700_br0.5_af0.5_zero_mass	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8671937191839519	37.0063459363136	0.9186780411220128	1729	388	210	2	0	0.0008274060612387252	0.0	0.0	2.0	0.0	-2.0	2.0	0.0	30.0	0.0
cross_rescue_ani0.92_xny700_br0.5_af0.7_zero_mass	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8671937191839519	37.0063459363136	0.9186780411220128	1729	388	210	2	0	0.0008274060612387252	0.0	0.0	2.0	0.0	-2.0	2.0	0.0	30.0	0.0
cross_rescue_ani0.92_xny700_br0.5_af0.9_zero_mass	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8655897841967835	37.0063459363136	0.9186780411220128	1728	388	211	1	0	0.00047953964194373533	0.0	0.0	1.0	0.0	-1.0	1.0	0.0	31.0	0.0
cross_rescue_ani0.93_xny100_br0.01_af0.1_zero_mass	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.7901960190734097	37.0063459363136	0.9200502278557632	1782	702	157	55	314	-0.061688212609491325	-0.3864845434938893	0.0	55.0	314.0	-55.0	3.0	29.0	0.0	4.0
cross_rescue_ani0.93_xny100_br0.01_af0.3_zero_mass	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8352747512664069	37.0063459363136	0.9192929881622652	1768	533	171	41	145	-0.0322806446536767	-0.19999999999999996	0.0	41.0	145.0	-41.0	4.0	28.0	0.0	4.0
