panel	sample	gtdb_species	truth_abundance	truth_abundance_pct	high_truth_abundance	candidate_present	profile_path	candidate_called	candidate_probability	candidate_threshold	candidate_abundance	candidate_abundance_raw	candidate_best_XnY	candidate_best_breadth	candidate_best_real_min_af	candidate_best_depth	candidate_best_zip_af	candidate_best_zip_aaf_ani	mapping_method	taxid	species_name
hmp_airskin_gtdb_source_abundance	15	s__Streptococcus pneumoniae	0.012762190825972712	1.2762190825972712	True	False	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin15_20260627/minco_sample15_current_default.tsv	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			
cami3_toy_human_gut_gtdb_source_readmap	1	s__Faecalibacterium tardum	0.009849787808197528	0.9849787808197529	False	True	/tmp/cami3_toy_human_gut_20260626/run/sample1_universal_autoexact.tsv	False	0.0178297773368543	0.35	0.0	14.330565639935328	567.0	0.168853	0.567	2.419759	0.168853	0.919149	best_raw_ref_taxid	3133156	Faecalibacterium tardum
hmp_airskin_gtdb_source_abundance	10	s__Escherichia coli	0.008974810081262025	0.8974810081262025	False	False	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin10_20260627/minco_sample10_current_default.tsv	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			
cami3_toy_human_gut_gtdb_source_readmap	0	s__Streptococcus salivarius_E	0.008831726891601128	0.8831726891601128	False	True	/tmp/cami3_toy_human_gut_20260626/run/sample0_universal_autoexact.tsv	False	0.0341904046071305	0.35	0.0	10.435062696209194	697.0	0.220422	0.697	2.30018	0.220428	0.931264	best_raw_ref_taxid	2762571	Streptococcus sp. 9.1
hmp_airskin_gtdb_source_abundance	25	s__Lactobacillus sp945980025	0.007858546168958114	0.7858546168958114	False	False	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin25_20260627/minco_sample25_current_default.tsv	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			
cami2_toy_mouse_gut	6	s__Bacteroides thetaiotaomicron	0.00775594622544518	0.775594622544518	False	True	/tmp/minco_current_code_toymouse_refresh_20260627/sample6_current.tsv	False	0.1693671412145106	0.35	0.0	3.351098514061704	718.0	0.34658	0.718	1.203604	0.359167	0.953456	species_name	s__Bacteroides thetaiotaomicron	s__Bacteroides thetaiotaomicron
hmp_airskin_gtdb_source_abundance	24	s__Limosilactobacillus reuteri_L	0.007407407407406406	0.7407407407406406	False	False	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin24_20260627/minco_sample24_current_default.tsv	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			
hmp_airskin_gtdb_source_abundance	10	s__ECMA0423 sp047199055	0.00738169214601452	0.738169214601452	False	False	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin10_20260627/minco_sample10_current_default.tsv	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			
hmp_airskin_gtdb_source_abundance	14	s__Streptococcus pseudopneumoniae	0.007299270072992408	0.7299270072992409	False	False	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin14_20260627/minco_sample14_current_default.tsv	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			
hmp_airskin_gtdb_source_abundance	14	s__Haemophilus influenzae	0.007299270072992408	0.7299270072992409	False	False	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin14_20260627/minco_sample14_current_default.tsv	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			
cami2_toy_mouse_gut	5	s__Faecalibacterium prausnitzii	0.006839935053701758	0.6839935053701759	False	True	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv	False	0.0131096690098995	0.35	0.0	2.661468836840016	537.0	0.175729	0.537	0.502818	0.188925	0.924254	species_name	s__Faecalibacterium prausnitzii	s__Faecalibacterium prausnitzii
hmp_airskin_gtdb_source_abundance	19	s__Streptococcus salivarius_D	0.005519346756101331	0.5519346756101331	False	False	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin19_20260627/minco_sample19_current_default.tsv	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			
cami2_toy_mouse_gut	5	s__Bacteroides thetaiotaomicron	0.0049965301873740415	0.49965301873740414	False	True	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv	False	0.1201821967091633	0.35	0.0	2.009117328798887	594.0	0.280073	0.594	0.649849	0.32345	0.948695	species_name	s__Bacteroides thetaiotaomicron	s__Bacteroides thetaiotaomicron
