method	samples	mean_F1	mean_L1_pp	mean_Pearson	pooled_TP	pooled_FP	pooled_FN	pooled_F1
sylph_gtdb_profile	5,6,7	0.9528057837924289	6.73152294577699	0.9940402726623159	429	13	38	0.943894389438944
minco_exact_split_universal	5,6,7	0.8938387600398774	13.76783712292629	0.9879766077266372	373	10	94	0.8776470588235294
minco_block_universal	5,6,7	0.8927916126138998	13.619064920415497	0.9882256755806397	372	10	95	0.8763250883392226
