sample	method	truth_gtdb_species	pred_gtdb_species	TP	FP	FN	precision	recall	F1	L1_union_pp	L1_truth_only_pp	Pearson_union	Pearson_truth_only	pred_rows_called	pred_rows_unmapped	pred_rows_ref_mapped	pred_rows_taxid_mapped	pred_rows_name_mapped
0	minco_source_readmap_binomial_fallback_rescore	102	94	86	8	16	0.9148936170212766	0.8431372549019608	0.8775510204081632	62.636325249968486	52.87462128416966	0.9107219221008171	0.9226480903740822	94	0	94.0	0.0	0.0
0	sylph_source_readmap_binomial_fallback_rescore	102	71	69	2	33	0.971830985915493	0.6764705882352942	0.7976878612716763	25.612226850811222	19.477732985305085	0.9807516748327523	0.9903843430732777	71	0			
1	minco_source_readmap_binomial_fallback_rescore	110	99	91	8	19	0.9191919191919192	0.8272727272727273	0.8708133971291866	75.61562428951619	67.22657211440145	0.6517565340655648	0.6686499596665461	99	0	99.0	0.0	0.0
1	sylph_source_readmap_binomial_fallback_rescore	110	78	74	4	36	0.9487179487179487	0.6727272727272727	0.7872340425531915	33.845662079041126	29.05723813692142	0.893804131378265	0.9067190773402162	78	0			
2	minco_source_readmap_binomial_fallback_rescore	107	115	90	25	17	0.782608695652174	0.8411214953271028	0.8108108108108107	47.40055400096946	41.33346202578186	0.9163764584014586	0.9193107023375888	115	0	115.0	0.0	0.0
2	sylph_source_readmap_binomial_fallback_rescore	107	67	61	6	46	0.9104477611940298	0.5700934579439252	0.7011494252873562	33.85181168832131	32.40220878911552	0.9670532334224852	0.9672857621045535	67	0			
